epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.745,2.33149,2.22015,1.33665,0.0406,0.22899,0.06756,0.02673,2.24933,3.12698,1.36608,0.06744,0.000328889,0.000328889
2,422.313,1.96171,1.57816,1.20624,0.19006,0.1775,0.12756,0.04851,2.09302,1.73002,1.41284,0.0344135,0.000635736,0.000635736
3,611.911,1.81058,1.36997,1.1391,0.28239,0.24234,0.16895,0.06077,2.22875,1.68912,1.49916,0.00136036,0.000915919,0.000915919
4,798.264,1.69854,1.24429,1.09733,0.21881,0.23455,0.15203,0.06422,1.85856,1.52707,1.26859,0.000880012,0.000880012,0.000880012
5,1006.78,1.62348,1.1605,1.06708,0.48809,0.29753,0.32247,0.15843,1.57949,1.09747,1.10763,0.000840016,0.000840016,0.000840016
6,1193.84,1.57849,1.10004,1.05439,0.36584,0.30299,0.266,0.12911,1.52556,1.1344,1.11427,0.00080002,0.00080002,0.00080002
7,1378.87,1.51533,1.06417,1.03689,0.4409,0.33729,0.35018,0.17934,1.43667,1.01343,1.078,0.000760024,0.000760024,0.000760024
8,1564.74,1.48797,1.02963,1.02456,0.53852,0.37849,0.38614,0.19952,1.41337,0.95616,1.05692,0.000720028,0.000720028,0.000720028
9,2128.48,1.45948,1.00511,1.01465,0.5017,0.35553,0.37396,0.20338,1.38171,0.95494,1.04599,0.000680032,0.000680032,0.000680032
10,2312.59,1.42764,0.97357,1.00593,0.53463,0.37863,0.40833,0.22392,1.35218,0.91642,1.02917,0.000640036,0.000640036,0.000640036
11,2516.57,1.39809,0.94939,0.99526,0.54729,0.37499,0.39358,0.20424,1.48032,1.00389,1.11907,0.00060004,0.00060004,0.00060004
12,2705.13,1.36558,0.92626,0.99144,0.52279,0.38458,0.39983,0.2184,1.33518,0.9091,1.04731,0.000560044,0.000560044,0.000560044
13,2890.94,1.34957,0.90946,0.98583,0.60639,0.41311,0.45986,0.26062,1.25186,0.84938,1.00823,0.000520048,0.000520048,0.000520048
14,3077.19,1.33362,0.8902,0.97965,0.58013,0.42546,0.45711,0.26353,1.2437,0.82397,1.00835,0.000480052,0.000480052,0.000480052
15,3264.58,1.31895,0.87668,0.97727,0.62444,0.42842,0.46064,0.26357,1.23992,0.79292,1.00348,0.000440056,0.000440056,0.000440056
16,3446.12,1.31926,0.87363,0.97945,0.46972,0.35252,0.33678,0.15459,1.70111,1.14486,1.28331,0.00040006,0.00040006,0.00040006
17,3628.2,1.2668,0.82496,0.96024,0.611,0.44046,0.48099,0.27695,1.19526,0.78078,0.98874,0.000360064,0.000360064,0.000360064
18,4088.7,1.2537,0.8093,0.95626,0.62049,0.43051,0.47333,0.26961,1.23135,0.78307,1.00849,0.000320068,0.000320068,0.000320068
19,4502.17,1.22345,0.7875,0.9476,0.6526,0.45452,0.50043,0.29248,1.17909,0.756,0.98394,0.000280072,0.000280072,0.000280072
20,4683.76,1.22114,0.77598,0.94508,0.62862,0.47417,0.51284,0.30011,1.15687,0.7357,0.97875,0.000240076,0.000240076,0.000240076
21,4864.8,1.18054,0.75561,0.93781,0.653,0.47446,0.52181,0.30585,1.14097,0.73154,0.97513,0.00020008,0.00020008,0.00020008
22,5045.18,1.17374,0.74263,0.93701,0.67168,0.46916,0.52153,0.31009,1.13881,0.71778,0.97211,0.000160084,0.000160084,0.000160084
23,5226.72,1.15668,0.73202,0.92987,0.69864,0.4703,0.53207,0.31345,1.12234,0.71095,0.96857,0.000120088,0.000120088,0.000120088
24,5408.46,1.13731,0.71526,0.9265,0.67802,0.48518,0.53279,0.31754,1.10928,0.69864,0.96618,8.0092e-05,8.0092e-05,8.0092e-05
25,6144.46,1.13131,0.71039,0.91802,0.69094,0.47067,0.5363,0.31879,1.10814,0.70329,0.9664,4.0096e-05,4.0096e-05,4.0096e-05
